Gender,BirthState,State_Id,TimeInApp,Age,paid_amount,Paid,loan_num,annual_interest_rate_per,loan_rate_salary
0,13,14,11.661903,3.8137405,3.8499348,1,1.7320508,0.7701082,0.024546113
0,11,11,11.445523,3.75438,8.684492,1,7.745967,0.7701082,0.55306417
0,8,7,11.61895,3.8850224,7.0199494,1,2.0,0.7701082,0.16352351
1,13,14,10.29563,3.4654791,4.4231687,1,1.0,0.7701082,0.12512171
0,13,14,10.198039,3.6448724,7.2068963,1,6.5574384,0.7701082,0.54690105
1,13,14,10.34408,3.3486905,6.6197,1,7.81025,0.7701082,0.54551643
0,13,14,10.0,3.2864897,4.681761,1,5.0990195,0.7701082,0.12648903
0,19,18,10.630146,3.8017068,8.073964,1,7.8740077,0.6747981,0.5701336
1,13,14,10.0,3.333084,5.774179,1,2.828427,0.7701082,0.36461356
0,8,7,10.392304,3.4878209,7.143886,1,4.2426405,0.7701082,0.47992164
0,13,14,10.246951,3.4629085,7.2334986,1,7.937254,0.7701082,0.53172535
1,18,19,10.723805,3.8062212,7.4241595,1,6.4031243,0.87546873,0.4774136
0,8,7,10.198039,3.8748448,7.3221207,1,3.0,0.87546873,0.5656634
0,8,7,10.049875,3.760133,6.400457,1,6.708204,0.87546873,0.32302785
1,23,22,11.532562,3.5040908,6.123917,1,7.4161983,0.87546873,0.44057637
1,13,14,10.34408,3.2766151,6.615409,1,7.6811457,0.87546873,0.5554541
0,13,14,10.246951,3.4115024,7.489021,1,4.1231055,0.87546873,0.5349687
0,13,14,10.246951,3.3603563,7.5202293,1,6.708204,0.87546873,0.5657678
0,11,11,11.224972,3.4206734,1.4374627,1,1.0,0.87546873,0.030630074
1,13,14,10.29563,3.3565464,6.7543125,1,5.8309517,0.87546873,0.49462682
1,13,14,10.34408,3.455416,7.1713724,1,6.928203,0.87546873,0.49750534
0,13,14,9.949874,3.2273545,6.9809594,1,2.6457512,0.87546873,0.5089674
1,13,14,10.440307,3.4949093,6.908835,1,5.0990195,0.9932518,0.526154
1,13,14,10.440307,3.9084299,5.91353,1,6.4807405,0.9932518,0.27217495
0,13,14,10.34408,3.5879202,8.165301,1,7.2111025,0.9932518,0.5245573
1,8,7,10.392304,3.7724855,7.4292536,1,8.124039,0.9932518,0.5657017
1,8,7,11.916375,4.0408754,9.116628,1,3.3166249,0.9932518,0.47366858
0,13,14,10.488089,3.246499,6.3789015,1,6.928203,0.9932518,0.32521525
1,13,14,11.74734,3.4785724,6.859552,1,4.2426405,0.9932518,0.36888504
0,8,7,11.7046995,3.9381537,6.7530646,1,1.0,1.1267831,0.38766593
0,13,14,7.81025,3.046964,6.1401863,1,5.91608,1.1267831,0.43648112
0,13,14,10.34408,3.4180744,6.99183,1,5.0990195,1.1267831,0.49227476
0,13,14,11.045361,3.2758913,7.273613,1,7.4161983,1.1267831,0.5012237
1,18,19,10.049875,3.699094,6.9759746,1,5.8309517,1.1267831,0.4400603
0,14,15,10.392304,3.3515718,5.8164563,1,7.483315,1.2809339,0.2659357
0,13,14,10.488089,3.295558,6.501725,1,4.0,1.2809339,0.5541299
1,13,14,11.575837,3.209938,4.691623,1,4.690416,1.4632554,0.21061952
0,8,7,11.874342,3.9615626,7.8956966,1,1.0,1.4632554,0.25659195
1,30,30,7.937254,3.1676185,5.370266,1,2.6457512,1.4632554,0.2966436
1,20,7,10.440307,4.0470657,6.821816,1,1.0,1.4632554,0.41742292
